Author,Title,Date finished
Andrew Hussey,Paris: The Secret History,2.1.14
Philippa Gregory,The Red Queen,17.1.14
Julia Stoneham,Muddy Boots And Silk Stockings,23.1.14
Julia Stoneham,The Girl At The Farmhouse Gate,29.1.14
Julia Stoneham,Alice's Girls,5.2.14
Alessandro Baricco,Silk,8.3.14
Jodi Picoult,The Pact,26.4.14
June Goulding,The Light In The Window,26.7.14
Juliet Landon,Mistress In The Regency Ballroom,30.7.14
Jane Johnson,The Tenth Gift,7.8.14
Cecelia Ahern,Where Rainbows End,18.8.14
Carmen Reid,Late Night Shopping,20.8.14
Maeve Binchy,Whitethorn Woods,22.8.14
Maurice Druon,The Iron King,5.9.14
Danielle Steel,Vanished,11.9.14
Maurice Druon,The Strangled Queen,16.9.14
Kate Mosse,The Winter Ghosts,17.9.14
Maurice Druon,The Poisoned Crown,20.9.14
Elizabeth Elgin,Daisychain Summer,26.9.14
Helen Fielding,Bridget Jones: Mad About The Boy,28.9.14
Anita Shreve,A Wedding In December,29.9.14
Margaret Atwood,Alias Grace,6.10.14
Elizabeth Elgin,Where Bluebells Chime,9.10.14
Danielle Steel,The Ghost,11.10.14
Jacqueline deMontravel,The Fabulous Emily Briggs,15.10.14
Elizabeth Elgin,Windflower Wedding,19.10.14
Anita Shreve,The Weight Of Water,21.10.14
Leah Fleming,Mothers And Daughters,27.10.14
Marge Piercy,The Longings Of Women,29.10.14
Elizabeth Elgin,The Linden Walk,1.11.14
Pam Rhodes,The Tresspassers,4.11.14
Katie Flynn,Forgotten Dreams,8.11.14
Georgette Heyer,The Spanish Bride,15.11.14
Joan O'Neill,Perfectly Impossible,17.11.14
Danielle Steel,A Good Woman,20.11.14
Gervase Phinn,All These Lonely People,20.11.14
Erin Morgenstern,The Night Circus,23.11.14
Helen Fielding,Olivia Joules And The Overactive Imagination,24.11.14
Anna King,Luck Be A Lady,26.11.14
Kathryn Stockett,The Help,1.12.14
Claude Michelet,Firelight And Woodsmoke,5.12.14
Eileen Ramsay,The Stuff Of Dreams,9.12.14
Lisa Appignanesi,Memory And Desire,19.12.14
Gillian Flynn,Gone Girl,19.12.14
Charlotte Bingham,The Land Of Summer,20.12.14
Rachel Hore,A Week In Paris,27.12.14
Harper Lin,Macaron Murder,29.12.14
M.J. Arlidge,Eeny Meeny,30.12.14
