Author,Title,Date finished
Karen Harper ,Shakespeare's Mistress,10.1.17
Lois Leveen,The Secrets Of Mary Bowser,16.1.17
Eleanor Moran,The Last Time I Saw You ,22.1.17
Sarah Rayner ,The Two Week Wait,27.1.17
Tan Twan Eng,The Garden Of Evening Mists ,4.2.17
Cecelia Ahern ,The Marble Collector ,11.2.17
Dorothy Koomson ,The Chocolate Run,18.2.17
Diane Chamberlain,Fire And Rain,25.2.17
Diane Chamberlain,Pretending To Dance ,5.3.17
Daphne Du Maurier ,The House On The Strand ,18.3.17
Trisha Ashley ,Good Husband Material ,23.3.17
Caitlin Moran,How To Be A Woman ,3.4.17
Scarlett Moffatt ,Scarlett Says ,9.4.17
Alastair Gunn,My Bloody Valentine ,11.4.17
Virginia Andrews,Seeds Of Yesterday ,20.4.17
Dorothy Koomson,When I Was Invisible,1.5.17
Philippa Gregory ,Three Sisters Three Queens ,14.5.17
Ellie Gibson & Helen Thorn,Scummy Mummies ,21.5.17
James Patterson,Toys,27.5.17
Jodi Picoult,Small Great Things ,1.6.17
Sarah Turner ,The Unmumsy Mum Diary ,5.6.17
Pam Jenoff,The Last Embrace ,14.6.17
Kate Beaufoy ,Liberty Silk ,17.6.17
Anita Shreve ,The Lives Of Stella Bain,22.6.17
Anita Shreve,A Change In Altitude ,27.6.17
Deborah Rodriguez ,The Little Coffee Shop Of Kabul,1.7.17
Jill Mansell ,Good At Games,4.7.17
Anchee Min,Empress Orchid,13.7.17
Philippa Gregory ,The Little House,16.7.17
Catherine Cookson,The Nice Bloke,21.7.17
Elaine Everest,The Butlins Girls,25.7.17
Giovanna Fletcher ,Happy Mum Happy Baby,26.7.17
James Herriot,All Creatures Great And Small,2.8.17
James Herriot ,All Things Wise And Wonderful ,6.8.17
Jojo Moyes ,Paris For One,10.8.17
Lori Lansens ,The Girls,13.8.17
Laurie Graham ,The Future Homemakers Of America ,14.8.17
Carrie Hope Fletcher ,On the Other Side ,18.8.17
Ken Blanchard ,Leadership & The One Minute Manager ,19.8.17
Miranda Dickinson,Searching For A Silver Lining ,28.8.17
Miranda Dickinson ,A Parcel For Anna Browne,8.9.17
Lulu Taylor ,The Snow Rose,17.9.17
Kate Jacobs ,The Friday Night Knitting Club,20.9.17
Susan Barrett,Fixing Shadows,25.9.17
Miranda Dickinson ,Take A Look At Me Now ,6.10.17
Kate Atkinson,A God In Ruins,26.10.17
Rose Tremain,The Road Home,30.10.17
Kate Jacobs ,Comfort Food ,11.11.17
Mary Jane Staples,Spreading Wings ,17.11.17
Leah Fleming ,Winter's Children,27.11.17
Mary Jane Staples,Family Fortunes,7.12.17
Catherine Cookson,The Tide Of Life,16.12.17
