Author,Title,Date_Finished
Sylvia Day,Captivated By You,2.1.15
M.J. Arlidge,Pop Goes The Weasel,4.1.15
Claude Michelet,Applewood,6.1.15
Lucie Whitehouse,Before We Met,9.1.15
Judy Finnigan,Eloise,12.1.15
Mark Haddon,The Curious Incident Of The Dog In The Night-Time,13.1.15
Max Arthur,We Will Remember Them: Voices From The Aftermath Of The Great War,14.1.15
Claude Michelet,Scent Of Herbs,20.1.15
Christie Watson,Where Women Are Kings,22.1.15
Aldous Huxley,Brave New World,23.1.15
Cheryl Strayed,Wild,23.1.15
Sebastian Faulks,The Girl At The Lion D'Or,25.1.15
Tess Gerritsen,Harvest,27.1.15
Jenny Colgan,Sweet Shop Of Dreams,29.1.15
Jean Fullerton,Call Nurse Millie,1.2.15
Tess Gerritsen,Keeper Of The Bride,2.2.15
Ernest Cline,Ready Player One,4.2.15
Margaret Leroy,The Collaborator,6.2.15
Nicci French,Tuesday's Gone,8.2.15
Jenny Barden,The Lost Duchess,10.2.15
Nicci French,Waiting For Wednesday,13.2.15
Robyn Sisman,Weekend In Paris,15.2.15
Linda Green,And Then It Happened,17.2.15
Ruth Hamilton,That Liverpool Girl,18.2.15
SJ Watson,Before I Go To Sleep,20.2.15
Laura Andersen,The Boleyn Deceit,24.2.15
Gail Godwin,Flora,26.2.15
Jonathan Harvey,The Girl Who Just Appeared,2.3.15
Lucy Ribchester,The Hourglass Factory,4.3.15
Donna Douglas,The Nightingale Nurses,6.3.15
Maria Duffy,The Terrace,8.3.15
Lucy Diamond,One Night In Italy,10.3.15
Ben Elton,Two Brothers,14.3.15
Joanna Hickson,"Red Rose, White Rose",18.3.15
Jessie Burton,The Miniaturist,18.3.15
Juliet Greenwood,We That Are Left,23.3.15
Michael Morpurgo,Kensuke's Kingdom,24.3.15
Elin Hilderbrand,Summerland,25.3.15
Linda Green,The Mummyfesto,28.3.15
Isabelle Grey,Out Of Sight,30.3.15
Kaui Hart Hemmings,The Descendants,31.3.15
Jojo Moyes,Silver Bay,3.4.15
Alison Pick,Far To Go,6.4.15
Dani Atkins,The Story Of Us,8.4.15
Lucinda Riley,The Italian Girl,9.4.15
Jane Thynne,The Winter Garden,12.4.15
Emma Donoghue,Room,13.4.15
Julia Stagg,The French Postmistress,14.4.15
Rachel Schurig,Ransom,16.4.15
Lili St. Germain,Seven Sons,17.4.15
Jodi Picoult,Harvesting The Heart,18.4.15
Rachel Abbott,Sleep Tight,20.4.15
M.C. Roman,Teaching Mia,21.4.15
Richard Flanagan,The Narrow Road To The Deep North,25.4.15
Maggie Bloom,Any Red-Blooded Girl,27.4.15
Robert Dinsdale,Little Exiles,29.4.15
Ellie Dean,Far From Home,1.5.15
Addison Moore,3:AM Kisses,3.5.15
Hans Fallada,Alone In Berlin,7.5.15
Daphne Du Maurier,Rebecca,11.5.15
Annie Wilkinson,The Land Girls,21.5.15
Miranda Dickinson,Take A Look At Me Now,24.5.15
Karen Joy Fowler,We Are All Completely Beside Ourselves,25.5.15
Jane Fallon,Skeletons,28.5.15
Daphne Du Maurier,Rule Britannia,31.5.15
Jodi Picoult,Lone Wolf,2.6.15
Janette Jenkins,Little Bones,4.6.15
Diane Chamberlain,Her Mother's Shadow,8.6.15
Daphne Du Maurier,Frenchman's Creek,10.6.15
J.K. Rowling,The Casual Vacancy,15.6.15
John Hart,Down River,18.6.15
E L James,Grey,25.6.15
Diane Chamberlain,The Courage Tree,30.6.15
Nicci French,Blue Monday,2.7.15
Philippa Gregory,The Constant Princess,5.7.15
Kate Kerrigan,Recipes For A Perfect Marriage,6.7.15
Alice Peterson,Look The World In The Eye,9.7.15
Dan Brown,Inferno,13.7.15
Hugh Howey,Wool,20.7.15
Sally Brampton,Shoot The Damn Dog ,24.7.15
Cecelia Ahern,One Hundred Names,26.7.15
Samantha Hayes,Before You Die,29.7.15
Veronica Henry,A Night On The Orient Express,3.8.15
Tilly Bagshawe,Scandalous,4.8.15
Debbie Macomber,Old Boyfriends ,6.8.15
Maria McCann ,The Wilding ,11.8.15
Suzanne Rindell,The Other Typist ,14.8.15
Emma Healey,Elizabeth Is Missing,18.8.15
Stef Penney,The Tenderness Of Wolves,29.8.15
Danielle Steel,Southern Lights,5.9.15
James Bowen,A Street Cat Named Bob,20.9.15
Madeline Miller ,The Song Of Achilles ,2.10.15
Julie Bertagna ,Exodus ,11.10.15
Veronica Roth,Divergent,21.10.15
David Mitchell ,Cloud Atlas ,8.11.15
Veronica Roth,Insurgent ,16.11.15
Paulo Coelho,The Zahir ,20.11.15
Anna Jacobs,Destiny's Path,2.12.15
Anne Perry ,Shoulder The Sky,7.12.15
Barbara Erskine,Hiding From The Light ,27.12.15
