Author,Title,Date Finished
Ken McCoy,Elsewhere,2.1.20
Helen Forrester ,By The Waters Of Liverpool,6.1.20
Agnes Light,Midwife On Call,9.1.20
Margaret Atwood,The Testaments,14.1.20
Clare Mackintosh,I Let You Go,20.1.20
Margaret Atwood ,Wilderness Tips,26.1.20
Annabel Pitcher,Silence Is Goldfish,30.1.20
John O'Farrell ,The Man Who Forgot His Wife,2.2.20
Sue Monk Kidd ,The Secret Life Of Bees,6.2.20
Helen Dunmore ,The Siege,12.2.20
Maggie Ford,A Girl In Wartime,16.2.20
Katie Kirby ,Reluctant Adult,17.2.20
John Green,Paper Towns,21.2.20
Sophie King,The School Run,25.2.20
Catherine Cookson,The Black Candle,4.3.20
Louis de Bernieres ,The Dust That Falls From Dreams,9.3.20
Nina George,The Little Breton Bistro,12.3.20
Lulu Taylor,The Snow Rose,21.3.20
Sue Perkins,Spectacles,24.3.20
Emma Healey,Whistle In The Dark,27.3.20
Gill Sims,Why Mummy Drinks,29.3.20
Emma Conway,Will I Ever Pee Alone Again?,29.3.20
Monica Ali,In The Kitchen,1.4.20
Claire Sandy,What Would Mary Berry Do?,5.4.20
Anne Herries,Ransom Bride,8.4.20
Anne Herries,The Pirate's Willing Captive,10.4.20
Dr Amanda Brown ,The Prison Doctor ,12.4.20
Gill Sims ,Why Mummy Swears,15.4.20
Isabel Allende,Island Beneath The Sea,19.4.20
Jamie Morgan Kane,34 Years In Hell,21.4.20
Juliet Landon,One Night In Paradise,23.4.20
Juliet Landon ,A Most Unseemly Summer,25.4.20
Gill Sims ,Why Mummy doesn't Give A ****!,27.4.20
Chimamanda Ngozi Adichie ,Half Of A Yellow Sun ,1.5.20
Amanda McCabe,A Sinful Alliance,4.5.20
Amanda McCabe ,A Notorious Woman,6.5.20
Mae West,"Love As Always, Mum xxx",8.5.20
Louise Pentland,Wilde Like Me ,11.5.20
Jane Casey ,Let The Dead Speak,14.5.20
Maureen Lee,Lights Out Liverpool,18.5.20
Maureen Lee,Dancing In The Dark,22.5.20
Maureen Lee,The Girl From Barefoot House,25.5.20
Maureen Lee ,Laceys Of Liverpool,28.5.20
Maureen Lee,Put Out The Fires,31.5.20
Maureen Lee ,Through The Storm,3.6.20
Maureen Lee,Kitty And Her Sisters,6.6.20
Maureen Lee ,Mother Of Pearl,10.6.20
Maureen Lee ,The Kelly Sisters ,13.6.20
Maureen Lee ,The Seven Streets Of Liverpool,14.6.20
Caroline Lea,The Glass Woman,17.6.20
Candice Carty-Williams,Queenie,19.6.20
Christina Dalcher,Vox,21.6.20
Menna Van Praag ,The Lost Art Of Letter Writing ,23.6.20
Menna Van Praag,The Dress Shop Of Dreams,25.6.20
Jonathan Harvey,The History Of Us,28.6.20
Ruth Hogan,Queenie Malone's Paradise Hotel,1.7.20
Ruth Hogan,The Wisdom Of Sally Red Shoes,2.7.20
Iain Hollingshead,Am I Alone In Thinking...?,5.7.20
Jenny Holmes,The Telephone Girls,8.7.20
Jill Shalvis,Almost Just Friends,9.7.20
Menna Van Praag,The House At The End Of Hope Street,14.7.20
Stephen G. Michaud and Hugh Aynesworth,Ted Bundy Conversations With A Killer,15.7.20
Belinda Jones,The California Club,22.7.20
Catherine Townsend,Sleeping Around,27.7.20
Kate Eastham,Miss Nightingale's Nurses,27.7.20
Fiona Gibson,The Mum Who Got Her Life Back,29.7.20
Susan Lewis,Don't Let Me Go,1.8.20
Cathy Bramley,The Lemon Tree Cafe,3.8.20
Elizabeth Waite ,Skinny Lizzie,7.8.20
Christy Lefteri,The Beekeeper Of Aleppo,8.8.20
Claire Wade,The Choice,10.8.20
Olivia Beirne ,The Accidental Love Letter,13.8.20
Jonathan Harvey,The Girl Who Just Appeared ,17.8.20
Harriet Evans ,The Wildflowers,25.8.20
Iain Hollingshead ,Am I Missing Something...?,29.8.20
Mike Gayle,Half A World Away,30.8.20
Jonathan Harvey,The Secrets We Keep ,3.9.20
Arabella Weir ,Stupid Cupid,6.9.20
Bryony Gordon,The Wrong Knickers ,10.9.20
Eva Weaver,The Puppet Boy Of Warsaw,14.9.20
Harriet Tyce,Blood Orange,20.9.20
Holly Wainwright,The Mummy Bloggers,29.9.20
Lia Louis,Somewhere Close To Happy,3.10.20
Phaedra Patrick,The Secrets Of Sunshine ,9.10.20
T.A. Williams,Dreaming Of St-Tropez,13.10.20
T.A. Williams,Dreaming Of Florence,17.10.20
T.A. Williams,Dreaming Of Venice,18.10.20
Ana Johns,The Woman In The White Kimono ,23.10.20
Susan Edmunds,Mummy Needs A Break,26.10.20
Elisabeth Hyde,The Abortionist's Daughter ,30.10.20
Gayle Forman,I Have Lost My Way,2.11.20
Eleanor Porter,The Wheelwright's Daughter,8.11.20
Catherine Cookson,The Golden Straw,15.11.20
Duncan Barrett and Nuala Calvi ,The Girls Who Went To War,20.11.20
Lloyd Jones,Mister Pip,24.11.20
Jodi Ellen Malpas,This Man,29.11.20
Jodi Ellen Malpas ,Beneath This Man,4.12.20
Jodi Ellen Malpas,This Man Confessed,13.12.20
Judith Kinghorn,The Snow Globe ,19.12.20
Vicki Beeby,Christmas With The Ops Room Girls,21.12.20
Lynda Bellingham,Tell Me Tomorrow ,26.12.20
