Author,Title,Date_Finished
Lesley Pearse,Camellia,9.1.19
Margaret Leroy,The River House,24.1.19
Kate Atkinson ,When Will There Be Good News?,29.1.19
Jane Green,Spellbound,1.2.19
Penny Vincenzi,Sheer Abandon,21.2.19
Sue Townsend,The Woman Who Went To Bed For A Year,16.3.19
Wendy Holden ,Beautiful People,18.3.19
Fern Britton,A Seaside Affair,20.3.19
Judith Kinghorn,The Last Summer,24.3.19
Jojo Moyes ,The One Plus One,28.3.19
Catherine Alliott ,The Secret Life Of Evie Hamilton,7.4.19
Trisha Ashley ,The Little Teashop Of Lost And Found,12.4.19
Alex Haley ,Roots,6.5.19
Kate McCann ,Madeleine ,8.5.19
Celeste Ng,Everything I Never Told You,21.5.19
C. Robert Cargill ,Sea Of Rust,27.5.19
Nora Roberts,Dual Image,4.6.19
Val Wood,Children Of The Tide,8.6.19
Anne O'Brien ,The Forbidden Queen,13.6.19
Sarah Waters,The Paying Guests,17.6.19
E L James ,The Mister ,24.6.19
Michael Morpurgo,Running Wild,28.6.19
Nicholas Evans,The Horse Whisperer,7.7.19
Lisa Jewell,After The Party,17.7.19
Max Pemberton,The Doctor Will See You Now,25.7.19
Max Pemberton,Where Does It Hurt?,27.7.19
Victoria Hislop,Cartes Postales From Greece,6.8.19
Roald Dahl ,Going Solo,17.8.19
E. Nesbit,The Lark,23.8.19
Holly Smale,Geek Girl,29.8.19
Adam Kay,This Is Going To Hurt,4.9.19
Fiona Ford,Christmas At Liberty's ,6.9.19
Daniel Mason,The Piano Tuner,13.9.19
Holly Smale,Model Misfit,17.9.19
Holly Smale,Picture Perfect,22.9.19
Joyce Carol Oates ,We Were The Mulvaneys,1.10.19
JP Delaney ,The Girl Before ,4.10.19
Rachel Simon,The Story Of Beautiful Girl,8.10.19
Gill Paul,Women & Children First,11.10.19
Naomi J. Williams,Landfalls,17.10.19
Deborah Carr,The Poppy Field,22.10.19
Sylvia Plath,The Bell Jar,24.10.19
Simon Scarrow,Hearts Of Stone,2.11.19
Hazel Gaynor,The Girl From The Savoy ,10.11.19
Ransom Riggs,Tales Of The Peculiar,13.11.19
Geling Yan,Little Aunt Crane,20.11.19
Margaret Atwood,The Handmaid's Tale,30.11.19
Vikas Swarup,Slumdog Millionaire ,3.12.19
Brian Conaghan,When Mr Dog Bites,8.12.19
Anna Jacobs ,Freedom's Land,13.12.19
Andrea Busfield ,Born Under A Million Shadows,17.12.19
Richard Madeley,Some Day I'll Find You,20.12.19
Jodi Picoult,Lone Wolf,1.1.20
